ticker,company_name,start_date,end_date,start_price,end_price,price_change,percent_change
MMM,3M Company,2023-01-01,2025-06-30,102.39,152.24,49.85,0.49
AOS,A. O. Smith,2023-01-01,2025-06-30,58.92,65.57,6.65,0.11
ABT,Abbott Laboratories,2023-01-01,2025-06-30,109.58,136.01,26.43,0.24
ABBV,AbbVie Inc,2023-01-01,2025-06-30,162.38,185.62,23.24,0.14
ADBE,Adobe,2023-01-01,2025-06-30,336.92,386.88,49.96,0.15
AMD,Advanced Micro Devices,2023-01-01,2025-06-30,64.02,141.9,77.88,1.22
ALL,Allstate,2023-01-01,2025-06-30,136.66,201.31,64.65,0.47
GOOG,Alphabet,2023-01-01,2025-06-30,89.7,177.39,87.69,0.98
MO,Altria Group,2023-01-01,2025-06-30,45.52,58.63,13.11,0.29
AMZN,Amazon,2023-01-01,2025-06-30,85.82,219.39,133.57,1.56
AXP,American Express,2023-01-01,2025-06-30,147.12,318.98,171.86,1.17
AIG,American International Group,2023-01-01,2025-06-30,62.93,85.59,22.66,0.36
AMGN,Amgen Inc,2023-01-01,2025-06-30,261.65,279.21,17.56,0.07
APA,APA Corp,2023-01-01,2025-06-30,43.62,18.29,-25.33,-0.58
AAPL,Apple,2023-01-01,2025-06-30,125.07,205.17,80.1,0.64
AZO,AutoZone,2023-01-01,2025-06-30,2431.06,3712.23,1281.17,0.53
BAESY,BAE Systems,2023-01-01,2025-06-30,42.07,105.07,63,1.50
BAC,Bank of America,2023-01-01,2025-06-30,33.51,47.32,13.81,0.41
BBWI,Bath & Body Works,2023-01-01,2025-06-30,43.19,29.96,-13.23,-0.31
BBY,Best Buy,2023-01-01,2025-06-30,80.41,67.13,-13.28,-0.17
BMW,BMW,2023-01-01,2025-06-30,85.8,75.46,-10.34,-0.12
BK,BNY Mellon,2023-01-01,2025-06-30,46.3,91.11,44.81,0.97
BA,Boeing,2023-01-01,2025-06-30,195.39,209.53,14.14,0.07
BMY,Bristol-Myers Squibb Co,2023-01-01,2025-06-30,72.26,46.29,-25.97,-0.36
AVGO,Broadcom,2023-01-01,2025-06-30,55.35,275.65,220.3,3.98
BYDDY,BYD,2023-01-01,2025-06-30,8.51,15.63,7.12,0.84
CPB,Campbell Soup Co,2023-01-01,2025-06-30,56.2,30.65,-25.55,-0.45
COF,Capital One,2023-01-01,2025-06-30,92.97,212.76,119.79,1.29
CAH,Cardinal Health,2023-01-01,2025-06-30,76.73,168,91.27,1.19
CAT,Caterpillar,2023-01-01,2025-06-30,238.88,388.21,149.33,0.63
COR,Cencora,2023-01-01,2025-06-30,164.29,299.85,135.56,0.83
CNC,Centene,2023-01-01,2025-06-30,79.74,54.28,-25.46,-0.32
SCHW,Charles Schwab,2023-01-01,2025-06-30,81.94,91.24,9.3,0.11
CVX,Chevron,2023-01-01,2025-06-30,173.99,143.19,-30.8,-0.18
CHWY,Chewy,2023-01-01,2025-06-30,35.46,42.62,7.16,0.20
CHD,Church & Dwight,2023-01-01,2025-06-30,82.02,96.11,14.09,0.17
CI,Cigna,2023-01-01,2025-06-30,321.48,330.58,9.1,0.03
CSCO,Cisco Systems,2023-01-01,2025-06-30,47.94,69.38,21.44,0.45
C,Citigroup,2023-01-01,2025-06-30,45.78,85.12,39.34,0.86
CLX,Clorox,2023-01-01,2025-06-30,142.26,120.07,-22.19,-0.16
KO,Coca-Cola,2023-01-01,2025-06-30,62.95,70.75,7.8,0.12
CL,Colgate-Palmolive Co,2023-01-01,2025-06-30,79.13,90.9,11.77,0.15
CPG,ConAgra Brands,2023-01-01,2025-06-30,1950,2467,517,0.27
COP,ConocoPhillips,2023-01-01,2025-06-30,113.12,89.74,-23.38,-0.21
COST,Costco,2023-01-01,2025-06-30,453.28,989.94,536.66,1.18
CVS,CVS Health Corp,2023-01-01,2025-06-30,92.91,68.98,-23.93,-0.26
DE,Deere & Co,2023-01-01,2025-06-30,424.29,508.49,84.2,0.20
DELL,Dell Technologies,2023-01-01,2025-06-30,40.9,122.6,81.7,2.00
DVN,Devon Energy Corp,2023-01-01,2025-06-30,58.12,31.81,-26.31,-0.45
DKS,Dick's Sporting Goods,2023-01-01,2025-06-30,120.57,197.81,77.24,0.64
DG,Dollar General Corp,2023-01-01,2025-06-30,246.72,114.38,-132.34,-0.54
DUK,Duke Energy,2023-01-01,2025-06-30,103.7,118,14.3,0.14
ETN,Eaton,2023-01-01,2025-06-30,157.75,356.99,199.24,1.26
ELV,Elevance Health,2023-01-01,2025-06-30,502.2,388.96,-113.24,-0.23
LLY,Eli Lilly,2023-01-01,2025-06-30,364.99,779.53,414.54,1.14
EMR,Emerson Electric,2023-01-01,2025-06-30,96.11,133.33,37.22,0.39
EDP,Enterprise Products Partners,2023-01-01,2025-06-30,4.72,3.68,-1.04,-0.22
EOG,EOG Resources,2023-01-01,2025-06-30,124.45,119.61,-4.84,-0.04
EL,Estee Lauder,2023-01-01,2025-06-30,253.91,80.8,-173.11,-0.68
XOM,ExxonMobil,2023-01-01,2025-06-30,106.51,107.8,1.29,0.01
FDX,FedEx Corp,2023-01-01,2025-06-30,177.27,227.31,50.04,0.28
RACE,Ferrari NV,2023-01-01,2025-06-30,215.37,490.74,275.37,1.28
F,Ford,2023-01-01,2025-06-30,11.68,10.85,-0.83,-0.07
GD,General Dynamics,2023-01-01,2025-06-30,248.6,291.66,43.06,0.17
GE,General Electric,2023-01-01,2025-06-30,53,257.39,204.39,3.86
GIS,General Mills Inc,2023-01-01,2025-06-30,83.22,51.81,-31.41,-0.38
GM,General Motors,2023-01-01,2025-06-30,33.82,49.21,15.39,0.46
GS,Goldman Sachs,2023-01-01,2025-06-30,346.22,707.75,361.53,1.04
HAL,Halliburton Co,2023-01-01,2025-06-30,37.66,20.38,-17.28,-0.46
HCA,HCA Healthcare,2023-01-01,2025-06-30,243.21,383.1,139.89,0.58
HSY,Hershey,2023-01-01,2025-06-30,226.93,165.95,-60.98,-0.27
HD,Home Depot,2023-01-01,2025-06-30,315.91,366.64,50.73,0.16
HMC,Honda,2023-01-01,2025-06-30,23.27,28.83,5.56,0.24
HON,Honeywell International,2023-01-01,2025-06-30,214.3,232.88,18.58,0.09
HPQ,HP Inc,2023-01-01,2025-06-30,26.75,24.46,-2.29,-0.09
HUM,Humana,2023-01-01,2025-06-30,500.49,244.48,-256.01,-0.51
IBM,IBM,2023-01-01,2025-06-30,141.55,294.78,153.23,1.08
ITW,Illinois Tool WOrks,2023-01-01,2025-06-30,220.32,247.25,26.93,0.12
INTC,Intel Corp,2023-01-01,2025-06-30,26.73,22.4,-4.33,-0.16
SJM,J.M. Smucker,2023-01-01,2025-06-30,158.99,98.2,-60.79,-0.38
JNJ,Johnson & Johnson,2023-01-01,2025-06-30,178.19,152.75,-25.44,-0.14
JPM,JPMorgan Chase,2023-01-01,2025-06-30,135.12,289.91,154.79,1.15
K,Kellogg,2023-01-01,2025-06-30,66.87,79.53,12.66,0.19
KMB,Kimberly-Clark Corp,2023-01-01,2025-06-30,137.11,128.92,-8.19,-0.06
KMI,Kinder Morgan,2023-01-01,2025-06-30,18.01,29.4,11.39,0.63
KHC,Kraft Heinz,2023-01-01,2025-06-30,40.78,25.82,-14.96,-0.37
LI,Li Auto,2023-01-01,2025-06-30,20.98,27.11,6.13,0.29
LMT,Lockheed Martin Corp,2023-01-01,2025-06-30,477.53,463.14,-14.39,-0.03
LOW,Lowe's Companies,2023-01-01,2025-06-30,199.04,221.87,22.83,0.11
LCID,Lucid Group,2023-01-01,2025-06-30,61.7,21.1,-40.6,-0.66
M,Macy's,2023-01-01,2025-06-30,20.13,11.66,-8.47,-0.42
MZDAY,Mazda Motor,2023-01-01,2025-06-30,3.76,2.96,-0.8,-0.21
MCK,McKesson,2023-01-01,2025-06-30,374.33,732.78,358.45,0.96
MBGYY,Mercedes-Benz,2023-01-01,2025-06-30,16.88,14.47,-2.41,-0.14
MRK,Merck & Co Inc,2023-01-01,2025-06-30,111.14,79.16,-31.98,-0.29
META,Meta Platforms,2023-01-01,2025-06-30,124.74,738.09,613.35,4.92
MET,MetLife Inc,2023-01-01,2025-06-30,72.15,80.42,8.27,0.11
MSFT,Microsoft,2023-01-01,2025-06-30,239.58,497.41,257.83,1.08
MDLZ,Mondelez,2023-01-01,2025-06-30,66.25,67.44,1.19,0.02
MS,Morgan Stanley,2023-01-01,2025-06-30,85.72,140.86,55.14,0.64
MPLX,MPLX LP,2023-01-01,2025-06-30,32.58,51.51,18.93,0.58
NFLX,Netflix,2023-01-01,2025-06-30,294.95,1339.13,1044.18,3.54
NEE,NextEra Energy,2023-01-01,2025-06-30,83.83,69.42,-14.41,-0.17
NIO,Nio,2023-01-01,2025-06-30,9.63,3.43,-6.2,-0.64
NOC,Northrop Grumman,2023-01-01,2025-06-30,540.33,499.98,-40.35,-0.07
NVDA,NVIDIA,2023-01-01,2025-06-30,14.32,157.99,143.67,10.03
ORLY,O'Reilly Auto,2023-01-01,2025-06-30,56.05,90.13,34.08,0.61
